startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID2_1,QID2_2,QID2_3,QID2_4,QID2_5,QID2_6,QID2_7,QID2_8,QID5_TEXT,QID6,QID6_3_TEXT,QID7_TEXT,QID11,QID12,QID13,QID14,QID15,QID16,QID17,QID18,QID19,QID20,QID21,QID22,QID155,QID156,QID157,QID158,QID159,QID160,QID161,QID162,QID163,QID164,QID165,QID166,QID23,QID24,QID25,QID26,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID167,QID168,QID169,QID170,QID171,QID172,QID173,QID174,QID175,QID176,QID177,QID178,QID35,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID44,QID45,QID46,QID179,QID180,QID181,QID182,QID183,QID184,QID185,QID186,QID187,QID188,QID189,QID190,QID47,QID48,QID49,QID50,QID51,QID52,QID53,QID54,QID55,QID56,QID57,QID58,QID191,QID192,QID193,QID194,QID195,QID196,QID197,QID198,QID199,QID200,QID201,QID202,QID59,QID60,QID61,QID62,QID63,QID64,QID65,QID66,QID67,QID68,QID69,QID70,QID203,QID204,QID205,QID206,QID207,QID208,QID209,QID210,QID211,QID212,QID213,QID214,QID71,QID72,QID73,QID74,QID75,QID76,QID77,QID78,QID79,QID80,QID81,QID82,QID215,QID216,QID217,QID218,QID219,QID220,QID221,QID222,QID223,QID224,QID225,QID226,QID83,QID84,QID85,QID86,QID87,QID88,QID89,QID90,QID91,QID92,QID93,QID94,QID227,QID228,QID229,QID230,QID231,QID232,QID233,QID234,QID235,QID236,QID237,QID238,QID95,QID96,QID97,QID98,QID99,QID100,QID101,QID102,QID103,QID104,QID105,QID106,QID239,QID240,QID241,QID242,QID243,QID244,QID245,QID246,QID247,QID248,QID249,QID250,QID107,QID108,QID109,QID110,QID111,QID112,QID113,QID114,QID115,QID116,QID117,QID118,QID251,QID252,QID253,QID254,QID255,QID256,QID257,QID258,QID259,QID260,QID261,QID262,QID119,QID120,QID121,QID122,QID123,QID124,QID125,QID126,QID127,QID128,QID129,QID130,QID263,QID264,QID265,QID266,QID267,QID268,QID269,QID270,QID271,QID272,QID273,QID274,QID131,QID132,QID133,QID134,QID135,QID136,QID137,QID138,QID139,QID140,QID141,QID142,QID275,QID276,QID277,QID278,QID279,QID280,QID281,QID282,QID283,QID284,QID285,QID286,QID143,QID144,QID145,QID146,QID147,QID148,QID149,QID150,QID151,QID152,QID153,QID154,QID287,QID288,QID289,QID290,QID291,QID292,QID293,QID294,QID295,QID296,QID297,QID298,QID299,QID300,QID301,QID302,QID303,QID304,QID305,QID306,QID307,QID308,QID309,QID310,QID443,QID444,QID445,QID446,QID447,QID448,QID449,QID450,QID451,QID452,QID453,QID454,QID311,QID312,QID313,QID314,QID315,QID316,QID317,QID318,QID319,QID320,QID321,QID322,QID455,QID456,QID457,QID458,QID459,QID460,QID461,QID462,QID463,QID464,QID465,QID466,QID323,QID324,QID325,QID326,QID327,QID328,QID329,QID330,QID331,QID332,QID333,QID334,QID467,QID468,QID469,QID470,QID471,QID472,QID473,QID474,QID475,QID476,QID477,QID478,QID335,QID336,QID337,QID338,QID339,QID340,QID341,QID342,QID343,QID344,QID345,QID346,QID479,QID480,QID481,QID482,QID483,QID484,QID485,QID486,QID487,QID488,QID489,QID490,QID347,QID348,QID349,QID350,QID351,QID352,QID353,QID354,QID355,QID356,QID357,QID358,QID491,QID492,QID493,QID494,QID495,QID496,QID497,QID498,QID499,QID500,QID501,QID502,QID359,QID360,QID361,QID362,QID363,QID364,QID365,QID366,QID367,QID368,QID369,QID370,QID503,QID504,QID505,QID506,QID507,QID508,QID509,QID510,QID511,QID512,QID513,QID514,QID371,QID372,QID373,QID374,QID375,QID376,QID377,QID378,QID379,QID380,QID381,QID382,QID515,QID516,QID517,QID518,QID519,QID520,QID521,QID522,QID523,QID524,QID525,QID526,QID383,QID384,QID385,QID386,QID387,QID388,QID389,QID390,QID391,QID392,QID393,QID394,QID527,QID528,QID529,QID530,QID531,QID532,QID533,QID534,QID535,QID536,QID537,QID538,QID395,QID396,QID397,QID398,QID399,QID400,QID401,QID402,QID403,QID404,QID405,QID406,QID539,QID540,QID541,QID542,QID543,QID544,QID545,QID546,QID547,QID548,QID549,QID550,QID407,QID408,QID409,QID410,QID411,QID412,QID413,QID414,QID415,QID416,QID417,QID418,QID551,QID552,QID553,QID554,QID555,QID556,QID557,QID558,QID559,QID560,QID561,QID562,QID419,QID420,QID421,QID422,QID423,QID424,QID425,QID426,QID427,QID428,QID429,QID430,QID563,QID564,QID565,QID566,QID567,QID568,QID569,QID570,QID571,QID572,QID573,QID574,QID431,QID432,QID433,QID434,QID435,QID436,QID437,QID438,QID439,QID440,QID441,QID442,QID575,QID576,QID577,QID578,QID579,QID580,QID581,QID582,QID583,QID584,QID585,QID586,QID733_1,QID733_2,QID589,QID590,QID591,QID592,QID593,QID594,QID595,QID596,QID597,QID598,QID599,QID600,QID601,QID602,QID603,QID604,QID605,QID606,QID607,QID608,QID609,QID610,QID611,QID612,QID613,QID614,QID615,QID616,QID617,QID618,QID619,QID620,QID621,QID622,QID623,QID624,QID625,QID626,QID627,QID628,QID629,QID630,QID631,QID632,QID633,QID634,QID635,QID636,QID637,QID638,QID639,QID640,QID641,QID642,QID643,QID644,QID645,QID646,QID647,QID648,QID649,QID650,QID651,QID652,QID653,QID654,QID655,QID656,QID657,QID658,QID659,QID660,QID661,QID662,QID663,QID664,QID665,QID666,QID667,QID668,QID669,QID670,QID671,QID672,QID673,QID674,QID675,QID676,QID677,QID678,QID679,QID680,QID681,QID682,QID683,QID684,QID685,QID686,QID687,QID688,QID689,QID690,QID691,QID692,QID693,QID694,QID695,QID696,QID697,QID698,QID699,QID700,QID701,QID702,QID703,QID704,QID705,QID706,QID707,QID708,QID709,QID710,QID711,QID712,QID713,QID714,QID715,QID716,QID717,QID718,QID719,QID720,QID721,QID722,QID723,QID724,QID725,QID726,QID727,QID728,QID729,QID730,QID731,QID732,first.scenario.type,first.choice.option,number.condition.id
7/26/22 5:39,7/26/22 6:03,0,51.9.17.172,100,1416,1,7/26/22 6:03,R_PS7oZbbDpzNJBbX,,,,,53.3553,-1.5633,anonymous,EN,1,1,1,1,1,1,1,1,38,1,,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,1,6,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moral,low.ratio,5
7/26/22 5:39,7/26/22 6:05,0,157.46.211.168,100,1573,1,7/26/22 6:05,R_1gITe9ioSZwAsTJ,,,,,9.5811,76.5533,anonymous,EN,1,1,1,1,1,1,1,1,27,1,,"English, Malayalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6,6,2,2,2,1,6,2,3,1,1,1,1,1,2,6,6,2,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,1,2,3,2,2,4,3,4,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moral,high.ratio,3
7/26/22 5:39,7/26/22 6:07,0,102.64.45.247,100,1667,1,7/26/22 6:07,R_qEnEsgBlfjsekcp,,,,,-26.7005,27.8179,anonymous,EN,1,1,1,1,1,1,1,1,21,2,,English and Tshivenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,1,1,1,6,6,6,6,1,3,6,6,3,4,5,6,6,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,2,3,3,1,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic,high.ratio,10
7/26/22 5:39,7/26/22 6:07,0,106.197.146.254,100,1691,1,7/26/22 6:07,R_plRFhgPPVvJGEqR,,,,,12.8996,80.2209,anonymous,EN,1,1,1,1,1,1,1,1,22,2,,tamil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,6,6,6,6,6,1,1,1,6,1,1,1,6,1,6,6,6,6,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,1,3,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic,high.ratio,5
7/26/22 5:38,7/26/22 6:07,0,178.143.41.136,100,1741,1,7/26/22 6:07,R_3D8uhbtpD1C2ros,,,,,48.1833,17.0379,anonymous,EN,1,1,1,1,1,1,1,1,23,2,,"Slovak, English",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,2,2,2,2,2,2,5,4,2,5,5,2,2,5,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic,high.ratio,11
7/26/22 5:39,7/26/22 6:08,0,125.164.21.106,100,1747,1,7/26/22 6:08,R_3Mn9pFDQqp8JMqz,,,,,-6.9217,107.6071,anonymous,EN,1,1,1,1,1,1,1,1,28,2,,Bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,6,4,5,5,4,4,3,5,5,5,2,4,3,2,5,2,2,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,economic,low.ratio,6
7/26/22 5:38,7/26/22 6:09,0,82.4.85.197,100,1856,1,7/26/22 6:09,R_Z8LGiYt8dDThsQN,,,,,51.6327,-3.9449,anonymous,EN,1,1,1,1,1,1,1,1,44,2,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3,4,4,4,4,4,2,2,4,4,3,2,3,5,2,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,2,1,1,2,1,,,,,,,,,,,,,economic,low.ratio,7
7/26/22 5:41,7/26/22 6:09,0,46.47.112.99,100,1693,1,7/26/22 6:09,R_1KdQ9n4nKhAtBZK,,,,,42.4963,27.4646,anonymous,EN,1,1,1,1,1,1,1,1,25,1,,Bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,1,1,1,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,moral,low.ratio,0
7/26/22 5:40,7/26/22 6:10,0,87.254.184.142,100,1752,1,7/26/22 6:10,R_2YlYknLoNPRUQYx,,,,,43.0848,25.6606,anonymous,EN,1,1,1,1,1,1,1,1,28,1,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,6,6,1,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moral,high.ratio,11
7/26/22 5:39,7/26/22 6:11,0,43.252.34.11,100,1943,1,7/26/22 6:11,R_1QE41Euq8JDw2iw,,,,,19.279,73.0604,anonymous,EN,1,1,1,1,1,1,1,1,24,1,,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,economic,high.ratio,9
7/26/22 5:39,7/26/22 6:12,0,41.13.78.158,100,2013,1,7/26/22 6:12,R_27H9uMXgbErewcu,,,,,-25.7599,28.2604,anonymous,EN,1,1,1,1,1,1,1,1,24,2,,English and Sepedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,1,1,1,1,1,1,6,1,6,6,6,1,6,1,6,1,6,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,1,1,1,1,1,1,2,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moral,high.ratio,4
7/26/22 5:39,7/26/22 6:14,0,197.184.173.175,100,2088,1,7/26/22 6:14,R_1hzoh0HU1v3fZX6,,,,,-26.3811,27.8376,anonymous,EN,1,1,1,1,1,1,1,1,21,1,,English and Zulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,6,6,5,1,4,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,moral,high.ratio,10
